stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1539,LNLEC1,"Leclerc",,48.654785,6.232323,,,0,
538,LNMAI0,"Laneuveville Mairie",,48.656448,6.231142,,,0,
1538,LNMAI1,"Laneuveville Mairie",,48.656616,6.231115,,,0,
732,LNMON0,"Collège Montaigu",,48.657685,6.209655,,,0,
1732,LNMON1,"Collège Montaigu",,48.657653,6.210066,,,0,
2814,LNMTG0,"Heillecourt Montaigu",,48.657437,6.208698,,,0,
748,LNSAB0,"Sablonnière",,48.654314,6.225215,,,0,
540,LNTRA0,"Transformateur",,48.652883,6.233347,,,0,
1540,LNTRA1,"Transformateur",,48.652894,6.233385,,,0,
534,LNVAL0,"Sainte-Valdrée",,48.661473,6.222202,,,0,
1534,LNVAL1,"Sainte-Valdrée",,48.661465,6.222385,,,0,
225,LXANN0,"Domaine Sainte-Anne",,48.684722,6.156226,,,0,
1225,LXANN1,"Domaine Sainte-Anne",,48.684797,6.154517,,,0,
68,LXCCL0,"Croix Saint-Claude",,48.689327,6.131943,,,0,
77,LXCCL1,"Observatoire",,48.689486,6.135315,,,0,
1068,LXCCL2,"Croix Saint-Claude",,48.689128,6.133442,,,0,
1077,LXCCL3,"Observatoire",,48.689321,6.135120,,,0,
76,LXCLB0,"Laxou Champ-le-Boeuf",,48.698110,6.123671,,,0,
465,LXCLB1,"Laxou Champ-le-boeuf",,48.698138,6.122458,,,0,
450,LXDDL0,"Didelot",,48.683275,6.143510,,,0,
1450,LXDDL1,"Didelot",,48.683286,6.143415,,,0,
64,LXERP0,"Europe",,48.680052,6.151273,,,0,
1064,LXERP1,"Europe",,48.680147,6.151738,,,0,
63,LXFCH1,"Foch",,48.678099,6.155572,,,0,
1063,LXFCH2,"Foch",,48.678377,6.155439,,,0,
497,LXGID0,"Charles Gide",,48.681236,6.144083,,,0,
1497,LXGID1,"Charles Gide",,48.681038,6.143851,,,0,
620,LXHAU0,"Ecole",,48.683309,6.155100,,,0,
1620,LXHAU1,"Ecole",,48.682303,6.155859,,,0,
223,LXHRD0,"Hardeval",,48.681378,6.152603,,,0,
1223,LXHRD1,"Hardeval",,48.680935,6.152926,,,0,
1451,LXJET1,"Jet d'eau",,48.686416,6.140597,,,0,
74,LXMAD0,"Madine",,48.699182,6.127997,,,0,
1074,LXMAD1,"Madine",,48.699233,6.127923,,,0,
1655,LXMAR0,"Heubach",,48.681985,6.147753,,,0,
655,LXMAR1,"Heubach",,48.681952,6.147564,,,0,
917,LXMAR2,"Mareville",,48.678719,6.143628,,,0,
1917,LXMAR3,"Mareville",,48.678243,6.144193,,,0,
212,LXMDO0,"La Poste - Champ-le-Boeuf",,48.700256,6.133414,,,0,
1212,LXMDO1,"La Poste - Champ-le-Boeuf",,48.700844,6.133257,,,0,
72,LXMST0,"Moselotte",,48.697231,6.125084,,,0,
213,LXMTA0,"Cascade - La Fontaine",,48.698995,6.134942,,,0,
1213,LXMTA1,"Cascade - La Fontaine",,48.699113,6.135305,,,0,
1071,LXMZN0,"Vair",,48.696116,6.123673,,,0,
641,LXORN0,"Vair",,48.696096,6.122799,,,0,
438,LXOUZ0,"Laxou Plateau de Haye",,48.697700,6.120217,,,0,
1438,LXOUZ1,"Laxou Plateau de haye",,48.697704,6.120225,,,0,
282,LXPRC0,"Parc",,48.697565,6.131930,,,0,
1282,LXPRC1,"Parc",,48.697475,6.131904,,,0,
66,LXPRO1,"Provinces",,48.679695,6.148035,,,0,
1066,LXPRO3,"Provinces",,48.679749,6.148085,,,0,
69,LXSAP0,"Laxou Sapinière",,48.690995,6.128284,,,0,
1069,LXSAP1,"Laxou Sapinière",,48.690992,6.128483,,,0,
219,LXSAP2,"Laxou Sapinière",,48.691357,6.128253,,,0,
228,LXSAR0,"Sarre",,48.695540,6.127094,,,0,
70,LXVAI0,"Vair",,48.695711,6.124376,,,0,
67,LXVAV0,"Ville d'Avray",,48.679376,6.144535,,,0,
1067,LXVAV1,"Ville d'Avray",,48.679413,6.144598,,,0,
224,LXVCT0,"Victoire",,48.684285,6.152266,,,0,
1224,LXVCT1,"Victoire",,48.683167,6.151173,,,0,
618,LXVCT4,"Victoire",,48.684404,6.152510,,,0,
1618,LXVCT5,"Victoire",,48.683509,6.151132,,,0,
79,LXVOG0,"Vologne",,48.697162,6.137698,,,0,
1284,LXVOG3,"Vologne",,48.697126,6.137613,,,0,
792,LXVZZ2,"Vezouze",,48.694963,6.131884,,,0,
1792,LXVZZ3,"Vezouze",,48.694994,6.131763,,,0,
123,LXZOL0,"Zola",,48.680977,6.157816,,,0,
1123,LXZOL1,"Zola",,48.680197,6.157704,,,0,
621,LXZOL2,"Zola",,48.681121,6.156874,,,0,
1621,LXZOL3,"Zola",,48.681235,6.156899,,,0,
491,MABLZ0,"Balzac",,48.708791,6.204010,,,0,
1491,MABLZ1,"Balzac",,48.708227,6.204122,,,0,
492,MACHP0,"Charpentier",,48.705767,6.203154,,,0,
1492,MACHP1,"Charpentier",,48.706306,6.203969,,,0,
490,MACHS0,"Chemin Stratégique",,48.710979,6.204431,,,0,
1490,MACHS1,"Chemin Stratégique",,48.710924,6.204511,,,0,
485,MACHT0,"Bas Château",,48.707874,6.215804,,,0,
1485,MACHT1,"Bas Château",,48.707881,6.215870,,,0,
487,MACMT0,"Charmettes",,48.705774,6.208809,,,0,
1487,MACMT1,"Charmettes",,48.705609,6.208664,,,0,
584,MACPS0,"Pont de pierre",,48.699628,6.216333,,,0,
1584,MACPS1,"Pont de pierre",,48.699532,6.215358,,,0,
25,MACRN0,"Washington Foch",,48.702079,6.213313,,,0,
1025,MACRN2,"Washington Foch",,48.702205,6.213365,,,0,
484,MAERB0,"Acacias",,48.710091,6.215311,,,0,
1484,MAERB1,"Acacias",,48.710029,6.215369,,,0,
1473,MAGAU1,"Place de Gaulle",,48.703480,6.205088,,,0,
489,MAHCT0,"Haie le Comte",,48.711076,6.207011,,,0,
1489,MAHCT1,"Haie le Comte",,48.711146,6.206437,,,0,
771,MAJOL0,"Jolimont",,48.711183,6.203150,,,0,
1771,MAJOL1,"Jolimont",,48.711359,6.204029,,,0,
474,MALIB0,"Libérator",,48.704232,6.201428,,,0,
1474,MALIB1,"Libérator",,48.703807,6.200412,,,0,
912,MALID0,"Lido",,48.698105,6.206543,,,0,
1912,MALID1,"Lido",,48.698148,6.206357,,,0,
24,MALIV0,"Saint-Livier",,48.700785,6.208760,,,0,
1024,MALIV2,"Saint-Livier",,48.700922,6.208919,,,0,
2040,MALRO0,"Le Royal - Jean XXIII",,48.699029,6.209932,,,0,
3040,MALRO1,"Le Royal - Jean XXIII",,48.698977,6.209980,,,0,
475,MAMAS0,"Massenet",,48.705028,6.198365,,,0,
1475,MAMAS1,"Massenet",,48.705262,6.198723,,,0,
486,MAMED0,"Saint-Médard",,48.706655,6.211871,,,0,
1486,MAMED1,"Saint-Médard",,48.706754,6.212762,,,0,
494,MAMNV0,"Jacques Cartier",,48.703074,6.195795,,,0,
1494,MAMNV1,"Jacques Cartier",,48.703001,6.196177,,,0,
582,MAMOU0,"Jean Moulin",,48.694480,6.211172,,,0,
1582,MAMOU1,"Jean Moulin",,48.694557,6.211226,,,0,
23,MAPIC0,"Gérard Barrois - Stade Marcel Picot",,48.699636,6.204578,,,0,
610,MAPIC1,"Gérard Barrois - Stade Marcel Picot",,48.699720,6.204423,,,0,
1023,MAPIC2,"Gérard Barrois - Stade Marcel Picot",,48.699674,6.204549,,,0,
1610,MAPIC3,"Gérard Barrois - Stade Marcel Picot",,48.699569,6.204572,,,0,
1913,MAPIC5,"Gérard Barrois - Stade Marcel Picot",,48.699887,6.204027,,,0,
913,MAPIC6,"Gérard Barrois - Stade Marcel Picot",,48.700011,6.204136,,,0,
495,MAPRC0,"Blaison - Parc",,48.701552,6.199812,,,0,
1495,MAPRC1,"Blaison - Parc",,48.701835,6.199214,,,0,
583,MAVAR0,"Varoquaux",,48.697327,6.215439,,,0,
1583,MAVAR1,"Varoquaux",,48.697250,6.215386,,,0,
2820,MAVAR2,"Tomblaine Groupe Scolaire",,48.695463,6.213659,,,0,
493,MLALE0,"Alexandre 1er",,48.704446,6.192361,,,0,
